ID	Age	Period	Locality	Country	Formation	Thickness	FAD	LAD	terrain	Palaeolatitude	Environnement_interpretation	Year_discovery	Time_sampling	Conglomerate	%_conglomerate	Sandstone	%_sandstone	Siltstone	%_siltstone	Shale	%_shale	Mudstone	%_mudstone	Limestone	%_limestone	lDominant_lith	Atmopheric_O2	Athmospheric_CO2	Surface_temperature	Salinity	%_flooded_land	Tidal_amplitude	Conodonts	Heterostraci	Heterostraci_richness	Agnathans	Agnathan_richness	Thelodonti	Thelodont_richness	Placodermi	Placoderm_richness	Acanthodii	Acanthodian_richness	Chondrichthyes	Chondrichthyan_richness	Actinopterygii	Actinopterygian_richness	Sarcopterygii	Sarcopterygian_richness	Tetrapoda	Tetrapod_richness	Vertebrate_richness		Number_specimens	articulated	disarticulated	Bonebed	Stromatolites	Forams	Stromatoporoids	Porifera	Corals	Conularids	Gastropods	Cephalopods	Bivalves	Brachiopods	Tentaculites	Ectoprocta	Ostracods	Conchostracans	Trilobites	Arthropods aquatic	Arthropods continental	Crinoids	Graptolites	Ichnofossil	Invertebrate_richness	Algae	Psilophyte	Tracheophyta	Lycopod	Archaeopterids	Cladoxylopsida	Spermatophytes	Plant_debris	Plant_richness	Validation
1	Middle-Upper Devonian	Givetian-Frasnian	Skelton-MacKay	Antarctica	Aztec Siltstone		387.7	372.2			Alluvial plain			1		1		1		0		0		1		SIL							0	0	0	0	0	1		1		1		1		1		1		0	0	0	abundant		0	1		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1		0	1			1		1			
2	Middle-Upper Devonian	late Givetian-early Frasnian	Tatong (4)	Australia	Hollands Creek Rhyodacite		384.3666667	379.2			freshwater																						0	0	0	0	0	0	0	1		0	0	0	0	0	0	1		0	0	0	commun		1	1																																
3	Middle-Upper Devonian	middle Givetian-early Frasnian	Gogo	Australia	Gogo		386.0333333	379.2		0	reef			0		0		1		1		0		1		LIM							1	0	0	0	0	0	0	1		1	1	1	1	1	5	1		0	0	8	abundant		1	1			1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0				0	0		0		0			
4	Lower Devonian	middle-late Emsian	Hills locality	Australia	Montys Hut		402.8333333	393.3	Melbourne Structural Zone					1		1		0		1		0		0									0	0	0	0	0	0		1		0	0	0	0	0	0	0	0	0	0	0	rare		1	1		0	0	0	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0		0	0	1		0		0			
5	Upper Devonian	early Frasnian	Bindaree Road (6)	"Australia, "	Upper Conglomerate Unit		382.7	379.2						1												CON							0	0	0	0	0	0	0	1		0	0	0	0	1				0	0	0			0	1																																
6	Upper Devonian	early Famennian	Forbes	"Australia, NSW"	Cloghnan Shale	36	372.2	367.7666667			alluvial plain			1		1		1		1		0		0									0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	1	1	1	5	rare		0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	1		0		0		1	
7	Upper Devonian	early Frasnian	Eden Pambula	"Australia, NSW"	Arkosic volcolithic clastic Facies 3		382.7	379.2			freshwater stream			1		1		0		0		1		0									0	0	0	0	0	0	0	1		1		0	0	0	0	1		0	0	0	common		0	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0		0	0	1		0		1			
8	Lower Devonian	late Emsian	Wee Jasper	"Australia, NSW"	Corradigbee		398.0666667	393.3			humid alluvial fan			0		0		1		1		1		0									0	0	0	0	0	1		1		1		0	0	0	0	1		0	0	0	commun		0	1		0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0		0	1	1		0		0			
9	Upper Devonian	late Famennian	Grenfell	"Australia, NSW"	Hunter Siltstone		363.3333333	358.9			freshwater			0		0		1		0		0		0		SIL							0	0	0	0	0	0	0	1		1		0	0	0	0	1		0	0	0	commun		0	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0		0			
10	Middle-Upper Devonian	late Givetian-early Frasnian	Eden Pambula	"Australia, NSW"	Flyschoid Facies 2 (Bunga Beds)		384.3666667	379.2			lacustrine			0		1		0		1		1		0									0	0	0	0	0	0	0	1		1		0	0	0	0	1		0	0	0	rare		0	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	1		0		1			
11	Upper Devonian	middle Famennian	Canowindra (Kalang & Nyrang Creek)	"Australia, NSW"	Mandagery		367.7666667	363.3333333			"oxbow lake, fluvial"			0	0	1		1		0		0		0									0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	5	0	0	8	abundant		1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1		0	0	1		1		0	1	2	
12	Upper Devonian	early Frasnian	Taggerty (3)	"Australia, VIC"	Blue Range		382.7	379.2			freshwater			1		1		1		1		0		0		SAN							0	0	0	0	0	0	0	1		0	0	0	0	0	0	1		0	0	0	rare		0	1		0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0		0	1	1		0		0			
